column
"Munyonyo six bedrooms palatial house on sell Houses for sale, Makindye  1,860,000,000 UGX  Yesterday, 13:51"
"Kira six bedrooms mansion on sell Houses for sale, Kira  790,000,000 UGX  Yesterday, 13:45"
column
"Kiwatule mansion on sell Houses for sale, Capital City  895,000,000 UGX  Yesterday, 13:34"
"Naalya condominiums in tarmacked neighborhood on sell Apartment for sale, Capital City  135,000,000 UGX  Yesterday, 13:26"
"Najjera apartments on sell Apartment for sale, Najeera  759,000,000 UGX  Yesterday, 13:09"
"Kira 3 bedrooms condominiums on sell Apartment for sale, Kira  186,000,000 UGX  Yesterday, 12:59"
"Najjera 16 unit apartments on sell Apartment for sale, Najeera  1,260,000,000 UGX  Yesterday, 12:57"
"Kisaasi 3 bedrooms condominiums on sale Apartment for sale, Kisaasi  273,000,000 UGX  Yesterday, 12:51"
"Kisaasi apartments on sell  Apartment for sale, Kisaasi  890,000,000 UGX  Yesterday, 12:48"
"Kiwatule apartments on sell Apartment for sale, Kiwaatule  897,000,000 UGX  Yesterday, 12:40"
